# Formfaktor P(q) = I_fit/S(q) (ohne Untergrund)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	P(q)	sigma_P(q)
5.05337220e-02	5.19585760e+03	1.05155662e+01
5.10731412e-02	5.18454151e+03	1.03459956e+01
5.16183184e-02	5.17300430e+03	1.01759695e+01
5.21693150e-02	5.16124213e+03	1.00055995e+01
5.27261933e-02	5.14925112e+03	9.83500414e+00
5.32890158e-02	5.13702734e+03	9.66430894e+00
5.38578463e-02	5.12456681e+03	9.49364681e+00
5.44327486e-02	5.11186551e+03	9.32315833e+00
5.50137877e-02	5.09891939e+03	9.15299193e+00
5.56010291e-02	5.08572434e+03	8.98330421e+00
5.61945390e-02	5.07227621e+03	8.81426016e+00
5.67943842e-02	5.05857083e+03	8.64603340e+00
5.74006325e-02	5.04460396e+03	8.47880630e+00
5.80133521e-02	5.03037134e+03	8.31277023e+00
5.86326121e-02	5.01586867e+03	8.14812557e+00
5.92584824e-02	5.00109161e+03	7.98508178e+00
5.98910335e-02	4.98603579e+03	7.82385738e+00
6.05303368e-02	4.97069680e+03	7.66467976e+00
6.11764642e-02	4.95507021e+03	7.50778494e+00
6.18294888e-02	4.93915154e+03	7.35341721e+00
6.24894839e-02	4.92293631e+03	7.20182851e+00
6.31565242e-02	4.90641998e+03	7.05327770e+00
6.38306847e-02	4.88959802e+03	6.90802958e+00
6.45120415e-02	4.87246585e+03	6.76635367e+00
6.52006715e-02	4.85501889e+03	6.62852268e+00
6.58966521e-02	4.83725253e+03	6.49481070e+00
6.66000620e-02	4.81916214e+03	6.36549106e+00
6.73109804e-02	4.80074310e+03	6.24083380e+00
6.80294874e-02	4.78199076e+03	6.12110281e+00
6.87556641e-02	4.76290048e+03	6.00655265e+00
6.94895923e-02	4.74346760e+03	5.89742496e+00
7.02313548e-02	4.72368748e+03	5.79394468e+00
7.09810352e-02	4.70355547e+03	5.69631591e+00
7.17387180e-02	4.68306692e+03	5.60471780e+00
7.25044886e-02	4.66221723e+03	5.51930023e+00
7.32784334e-02	4.64100177e+03	5.44017973e+00
7.40606397e-02	4.61941596e+03	5.36743559e+00
