# Strukturfaktor S(q) (hs_py_avg)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	S(q)
5.05337220e-02	2.41112482e-01
5.10731412e-02	2.41855723e-01
5.16183184e-02	2.42617345e-01
5.21693150e-02	2.43397855e-01
5.27261933e-02	2.44197778e-01
5.32890158e-02	2.45017652e-01
5.38578463e-02	2.45858034e-01
5.44327486e-02	2.46719502e-01
5.50137877e-02	2.47602649e-01
5.56010291e-02	2.48508089e-01
5.61945390e-02	2.49436457e-01
5.67943842e-02	2.50388408e-01
5.74006325e-02	2.51364619e-01
5.80133521e-02	2.52365790e-01
5.86326121e-02	2.53392646e-01
5.92584824e-02	2.54445935e-01
5.98910335e-02	2.55526432e-01
6.05303368e-02	2.56634935e-01
6.11764642e-02	2.57772276e-01
6.18294888e-02	2.58939310e-01
6.24894839e-02	2.60136925e-01
6.31565242e-02	2.61366039e-01
6.38306847e-02	2.62627605e-01
6.45120415e-02	2.63922607e-01
6.52006715e-02	2.65252065e-01
6.58966521e-02	2.66617037e-01
6.66000620e-02	2.68018617e-01
6.73109804e-02	2.69457943e-01
6.80294874e-02	2.70936190e-01
6.87556641e-02	2.72454579e-01
6.94895923e-02	2.74014376e-01
7.02313548e-02	2.75616895e-01
7.09810352e-02	2.77263497e-01
7.17387180e-02	2.78955595e-01
7.25044886e-02	2.80694658e-01
7.32784334e-02	2.82482208e-01
7.40606397e-02	2.84319828e-01
7.48511956e-02	2.86209159e-01
7.56501902e-02	2.88151909e-01
7.64577136e-02	2.90149849e-01
7.72738569e-02	2.92204822e-01
7.80987120e-02	2.94318743e-01
7.89323720e-02	2.96493603e-01
7.97749309e-02	2.98731470e-01
8.06264836e-02	3.01034497e-01
8.14871262e-02	3.03404923e-01
8.23569557e-02	3.05845076e-01
8.32360701e-02	3.08357380e-01
8.41245685e-02	3.10944356e-01
8.50225512e-02	3.13608629e-01
8.59301193e-02	3.16352930e-01
8.68473752e-02	3.19180105e-01
8.77744223e-02	3.22093114e-01
8.87113651e-02	3.25095041e-01
8.96583093e-02	3.28189100e-01
9.06153615e-02	3.31378636e-01
9.15826298e-02	3.34667135e-01
9.25602231e-02	3.38058226e-01
9.35482516e-02	3.41555694e-01
9.45468268e-02	3.45163481e-01
9.55560613e-02	3.48885691e-01
9.65760687e-02	3.52726606e-01
9.76069642e-02	3.56690682e-01
9.86488639e-02	3.60782565e-01
9.97018853e-02	3.65007094e-01
1.00766147e-01	3.69369310e-01
1.01841769e-01	3.73874463e-01
1.02928873e-01	3.78528023e-01
1.04027581e-01	3.83335682e-01
1.05138017e-01	3.88303367e-01
1.06260307e-01	3.93437246e-01
1.07394576e-01	3.98743736e-01
1.08540953e-01	4.04229510e-01
1.09699567e-01	4.09901503e-01
1.10870548e-01	4.15766922e-01
1.12054030e-01	4.21833247e-01
1.13250144e-01	4.28108242e-01
1.14459025e-01	4.34599956e-01
1.15680811e-01	4.41316724e-01
