# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
5.05337220e-02	1.25278202e+03	1.25278202e+01
5.10731412e-02	1.25390693e+03	1.25390693e+01
5.16183184e-02	1.25505647e+03	1.25505647e+01
5.21693150e-02	1.25623117e+03	1.25623117e+01
5.27261933e-02	1.25743158e+03	1.25743158e+01
5.32890158e-02	1.25865828e+03	1.25865828e+01
5.38578463e-02	1.25991183e+03	1.25991183e+01
5.44327486e-02	1.26119282e+03	1.26119282e+01
5.50137877e-02	1.26250186e+03	1.26250186e+01
5.56010291e-02	1.26383955e+03	1.26383955e+01
5.61945390e-02	1.26520652e+03	1.26520652e+01
5.67943842e-02	1.26660341e+03	1.26660341e+01
5.74006325e-02	1.26803086e+03	1.26803086e+01
5.80133521e-02	1.26948955e+03	1.26948955e+01
5.86326121e-02	1.27098015e+03	1.27098015e+01
5.92584824e-02	1.27250335e+03	1.27250335e+01
5.98910335e-02	1.27405985e+03	1.27405985e+01
6.05303368e-02	1.27565038e+03	1.27565038e+01
6.11764642e-02	1.27727565e+03	1.27727565e+01
6.18294888e-02	1.27893642e+03	1.27893642e+01
6.24894839e-02	1.28063344e+03	1.28063344e+01
6.31565242e-02	1.28236750e+03	1.28236750e+01
6.38306847e-02	1.28413936e+03	1.28413936e+01
6.45120415e-02	1.28594983e+03	1.28594983e+01
6.52006715e-02	1.28779973e+03	1.28779973e+01
6.58966521e-02	1.28968988e+03	1.28968988e+01
6.66000620e-02	1.29162113e+03	1.29162113e+01
6.73109804e-02	1.29359432e+03	1.29359432e+01
6.80294874e-02	1.29561032e+03	1.29561032e+01
6.87556641e-02	1.29767001e+03	1.29767001e+01
6.94895923e-02	1.29977429e+03	1.29977429e+01
7.02313548e-02	1.30192405e+03	1.30192405e+01
7.09810352e-02	1.30412021e+03	1.30412021e+01
7.17387180e-02	1.30636371e+03	1.30636371e+01
7.25044886e-02	1.30865546e+03	1.30865546e+01
7.32784334e-02	1.31099642e+03	1.31099642e+01
7.40606397e-02	1.31338755e+03	1.31338755e+01
7.48511956e-02	1.31582980e+03	1.31582980e+01
7.56501902e-02	1.31832415e+03	1.31832415e+01
7.64577136e-02	1.32087156e+03	1.32087156e+01
7.72738569e-02	1.32347301e+03	1.32347301e+01
7.80987120e-02	1.32612949e+03	1.32612949e+01
7.89323720e-02	1.32884197e+03	1.32884197e+01
7.97749309e-02	1.33161144e+03	1.33161144e+01
8.06264836e-02	1.33443886e+03	1.33443886e+01
8.14871262e-02	1.33732520e+03	1.33732520e+01
8.23569557e-02	1.34027144e+03	1.34027144e+01
8.32360701e-02	1.34327850e+03	1.34327850e+01
8.41245685e-02	1.34634734e+03	1.34634734e+01
8.50225512e-02	1.34947885e+03	1.34947885e+01
8.59301193e-02	1.35267393e+03	1.35267393e+01
8.68473752e-02	1.35593345e+03	1.35593345e+01
8.77744223e-02	1.35925823e+03	1.35925823e+01
8.87113651e-02	1.36264906e+03	1.36264906e+01
