# IFT-Fit I(q) im Fitbereich
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I_fit	sigma_I_fit
5.05337220e-02	1.25278214e+03	2.53684239e+00
5.10731412e-02	1.25390705e+03	2.50361336e+00
5.16183184e-02	1.25505659e+03	2.47020753e+00
5.21693150e-02	1.25623129e+03	2.43664668e+00
5.27261933e-02	1.25743170e+03	2.40295437e+00
5.32890158e-02	1.25865839e+03	2.36915605e+00
5.38578463e-02	1.25991194e+03	2.33527915e+00
5.44327486e-02	1.26119293e+03	2.30135324e+00
5.50137877e-02	1.26250197e+03	2.26741011e+00
5.56010291e-02	1.26383966e+03	2.23348392e+00
5.61945390e-02	1.26520663e+03	2.19961128e+00
5.67943842e-02	1.26660351e+03	2.16583143e+00
5.74006325e-02	1.26803097e+03	2.13218632e+00
5.80133521e-02	1.26948966e+03	2.09872074e+00
5.86326121e-02	1.27098026e+03	2.06548244e+00
5.92584824e-02	1.27250345e+03	2.03252224e+00
5.98910335e-02	1.27405995e+03	1.99989408e+00
6.05303368e-02	1.27565047e+03	1.96765515e+00
6.11764642e-02	1.27727574e+03	1.93586589e+00
6.18294888e-02	1.27893651e+03	1.90459003e+00
6.24894839e-02	1.28063353e+03	1.87389457e+00
6.31565242e-02	1.28236758e+03	1.84384970e+00
6.38306847e-02	1.28413944e+03	1.81452871e+00
6.45120415e-02	1.28594991e+03	1.78600778e+00
6.52006715e-02	1.28779981e+03	1.75836571e+00
6.58966521e-02	1.28968995e+03	1.73168361e+00
6.66000620e-02	1.29162119e+03	1.70604443e+00
6.73109804e-02	1.29359438e+03	1.68153242e+00
6.80294874e-02	1.29561038e+03	1.65823248e+00
6.87556641e-02	1.29767007e+03	1.63622936e+00
6.94895923e-02	1.29977434e+03	1.61560680e+00
7.02313548e-02	1.30192410e+03	1.59644651e+00
7.09810352e-02	1.30412025e+03	1.57882706e+00
7.17387180e-02	1.30636374e+03	1.56282272e+00
7.25044886e-02	1.30865549e+03	1.54850218e+00
7.32784334e-02	1.31099645e+03	1.53592730e+00
7.40606397e-02	1.31338757e+03	1.52515184e+00
7.48511956e-02	1.31582981e+03	1.51622024e+00
7.56501902e-02	1.31832415e+03	1.50916653e+00
7.64577136e-02	1.32087156e+03	1.50401338e+00
7.72738569e-02	1.32347301e+03	1.50077125e+00
7.80987120e-02	1.32612948e+03	1.49943793e+00
7.89323720e-02	1.32884195e+03	1.49999814e+00
7.97749309e-02	1.33161141e+03	1.50242353e+00
8.06264836e-02	1.33443882e+03	1.50667287e+00
8.14871262e-02	1.33732516e+03	1.51269249e+00
8.23569557e-02	1.34027139e+03	1.52041702e+00
8.32360701e-02	1.34327845e+03	1.52977018e+00
8.41245685e-02	1.34634727e+03	1.54066591e+00
8.50225512e-02	1.34947878e+03	1.55300943e+00
8.59301193e-02	1.35267385e+03	1.56669849e+00
8.68473752e-02	1.35593336e+03	1.58162458e+00
8.77744223e-02	1.35925813e+03	1.59767422e+00
8.87113651e-02	1.36264895e+03	1.61473005e+00
8.96583093e-02	1.36610658e+03	1.63267206e+00
9.06153615e-02	1.36963171e+03	1.65137858e+00
9.15826298e-02	1.37322497e+03	1.67072723e+00
9.25602231e-02	1.37688695e+03	1.69059587e+00
9.35482516e-02	1.38061813e+03	1.71086330e+00
9.45468268e-02	1.38441892e+03	1.73141000e+00
9.55560613e-02	1.38828964e+03	1.75211874e+00
9.65760687e-02	1.39223050e+03	1.77287517e+00
9.76069642e-02	1.39624158e+03	1.79356827e+00
9.86488639e-02	1.40032283e+03	1.81409084e+00
9.97018853e-02	1.40447404e+03	1.83433994e+00
1.00766147e-01	1.40869485e+03	1.85421723e+00
1.01841769e-01	1.41298471e+03	1.87362945e+00
1.02928873e-01	1.41734283e+03	1.89248871e+00
1.04027581e-01	1.42176823e+03	1.91071295e+00
1.05138017e-01	1.42625966e+03	1.92822633e+00
1.06260307e-01	1.43081557e+03	1.94495959e+00
1.07394576e-01	1.43543413e+03	1.96085056e+00
1.08540953e-01	1.44011315e+03	1.97584457e+00
1.09699567e-01	1.44485004e+03	1.98989496e+00
1.10870548e-01	1.44964182e+03	2.00296354e+00
1.12054030e-01	1.45448504e+03	2.01502116e+00
1.13250144e-01	1.45937575e+03	2.02604824e+00
1.14459025e-01	1.46430942e+03	2.03603531e+00
1.15680811e-01	1.46928094e+03	2.04498357e+00
1.16915639e-01	1.47428451e+03	2.05290543e+00
1.18163648e-01	1.47931361e+03	2.05982502e+00
1.19424979e-01	1.48436089e+03	2.06577869e+00
1.20699774e-01	1.48941816e+03	2.07081537e+00
1.21988176e-01	1.49447624e+03	2.07499690e+00
1.23290332e-01	1.49952491e+03	2.07839823e+00
1.24606387e-01	1.50455282e+03	2.08110738e+00
1.25936491e-01	1.50954736e+03	2.08322528e+00
1.27280792e-01	1.51449457e+03	2.08486533e+00
1.28639443e-01	1.51937903e+03	2.08615261e+00
1.30012597e-01	1.52418372e+03	2.08722277e+00
