# p(r) aus IFT (Glatter 1977)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# r / nm	p(r)	sigma_p(r)
0.00000000e+00	0.00000000e+00	0.00000000e+00
3.10850000e-01	4.40959084e-02	2.28650625e-03
6.21700000e-01	1.90281825e-01	2.09143081e-03
9.32550000e-01	4.09796588e-01	1.89652097e-03
1.24340000e+00	7.24777181e-01	1.41942951e-03
1.55425000e+00	1.10423616e+00	9.37218911e-04
1.86510000e+00	1.56888748e+00	1.44113035e-03
2.17595000e+00	2.08888616e+00	2.71357870e-03
2.48680000e+00	2.68433565e+00	4.13638397e-03
2.79765000e+00	3.32576628e+00	5.59662004e-03
3.10850000e+00	4.03326577e+00	6.71526756e-03
3.41935000e+00	4.77731196e+00	7.50590895e-03
3.73020000e+00	5.57833589e+00	7.57476206e-03
4.04105000e+00	6.40653874e+00	7.22808988e-03
4.35190000e+00	7.28282008e+00	6.63320811e-03
4.66275000e+00	8.17718179e+00	6.97656369e-03
4.97360000e+00	9.11073609e+00	9.03044940e-03
5.28445000e+00	1.00538098e+01	1.19198850e-02
5.59530000e+00	1.10269989e+01	1.51483239e-02
5.90615000e+00	1.20019110e+01	1.71009688e-02
6.21700000e+00	1.29975976e+01	1.80206601e-02
6.52785000e+00	1.39879674e+01	1.68711672e-02
6.83870000e+00	1.49897674e+01	1.52417835e-02
7.14955000e+00	1.59795606e+01	1.41482948e-02
7.46040000e+00	1.69721007e+01	1.54184372e-02
7.77125000e+00	1.79455604e+01	1.84043380e-02
8.08210000e+00	1.89145610e+01	1.99993370e-02
8.39295000e+00	1.98564087e+01	2.03394283e-02
8.70380000e+00	2.07884342e+01	1.90018806e-02
9.01465000e+00	2.16844023e+01	1.97019117e-02
9.32550000e+00	2.25663641e+01	2.42758951e-02
9.63635000e+00	2.34038035e+01	2.84166660e-02
9.94720000e+00	2.42226334e+01	3.11402935e-02
1.02580500e+01	2.49906748e+01	2.80940165e-02
1.05689000e+01	2.57336786e+01	2.44158230e-02
1.08797500e+01	2.64226058e+01	2.49677931e-02
1.11906000e+01	2.70785204e+01	3.07466691e-02
1.15014500e+01	2.76787446e+01	3.70422424e-02
1.18123000e+01	2.82386964e+01	3.54944363e-02
1.21231500e+01	2.87404178e+01	3.04793011e-02
1.24340000e+01	2.91976834e+01	2.65802454e-02
1.27448500e+01	2.95919998e+01	3.02675031e-02
1.30557000e+01	2.99404727e+01	3.53875364e-02
1.33665500e+01	3.02211792e+01	3.25150362e-02
1.36774000e+01	3.04541007e+01	2.83201941e-02
1.39882500e+01	3.06181661e+01	3.25370635e-02
1.42991000e+01	3.07290015e+01	3.99534131e-02
1.46099500e+01	3.07746455e+01	4.15653043e-02
1.49208000e+01	3.07598400e+01	3.27058165e-02
1.52316500e+01	3.06840021e+01	3.03584461e-02
1.55425000e+01	3.05446222e+01	4.20877350e-02
1.58533500e+01	3.03431893e+01	4.72779674e-02
1.61642000e+01	3.00828466e+01	4.05312592e-02
1.64750500e+01	2.97543919e+01	3.06625791e-02
1.67859000e+01	2.93751753e+01	3.67763719e-02
1.70967500e+01	2.89241722e+01	4.27093861e-02
1.74076000e+01	2.84258483e+01	3.50159251e-02
1.77184500e+01	2.78606770e+01	3.42232584e-02
1.80293000e+01	2.72453041e+01	5.09756508e-02
1.83401500e+01	2.65727813e+01	5.61115791e-02
1.86510000e+01	2.58491389e+01	4.17865983e-02
1.89618500e+01	2.50733316e+01	3.48495342e-02
1.92727000e+01	2.42543115e+01	5.18230223e-02
1.95835500e+01	2.33822711e+01	5.38368342e-02
1.98944000e+01	2.24787493e+01	3.79518970e-02
2.02052500e+01	2.15242999e+01	4.21291190e-02
2.05161000e+01	2.05458987e+01	5.64613670e-02
2.08269500e+01	1.95249169e+01	4.89545087e-02
2.11378000e+01	1.84861642e+01	3.74693482e-02
2.14486500e+01	1.74130705e+01	5.27650918e-02
2.17595000e+01	1.63319655e+01	5.54575819e-02
2.20703500e+01	1.52256423e+01	3.96373607e-02
2.23812000e+01	1.41175945e+01	5.28388178e-02
2.26920500e+01	1.30026857e+01	6.55923911e-02
2.30029000e+01	1.18867810e+01	4.71688751e-02
2.33137500e+01	1.07828268e+01	4.88869607e-02
2.36246000e+01	9.69026507e+00	7.01766298e-02
2.39354500e+01	8.61336929e+00	5.51525173e-02
2.42463000e+01	7.57410966e+00	4.82874455e-02
2.45571500e+01	6.55556957e+00	7.72997357e-02
2.48680000e+01	5.58692182e+00	6.65205299e-02
2.51788500e+01	4.66780131e+00	4.79446467e-02
