<X> <Y>
5.053372200498923e-03 7.736743399990772e+02
5.107314119355062e-03 7.764920087311981e+02
5.161831837992903e-03 7.793722417359030e+02
5.216931502752715e-03 7.823164639832127e+02
5.272619325583530e-03 7.853261338253914e+02
5.328901584743434e-03 7.884027437641596e+02
5.385784625507426e-03 7.915478212299430e+02
5.443274860882742e-03 7.947629293725643e+02
5.501378772331900e-03 7.980496678627043e+02
5.560102910503379e-03 8.014096737033123e+02
5.619453895970187e-03 8.048446220500439e+02
5.679438419976217e-03 8.083562270395926e+02
5.740063245190670e-03 8.119462426246835e+02
5.801335206470429e-03 8.156164634142257e+02
5.863261211630670e-03 8.193687255169843e+02
5.925848242223608e-03 8.232049073868440e+02
5.989103354325639e-03 8.271269306674926e+02
6.053033679332809e-03 8.311367610340599e+02
6.117646424764821e-03 8.352364090289498e+02
6.182948875077636e-03 8.394279308886740e+02
6.248948392484678e-03 8.437134293581992e+02
6.315652417786903e-03 8.480950544887838e+02
6.383068471211624e-03 8.525750044148547e+02
6.451204153260398e-03 8.571555261049119e+02
6.520067145565853e-03 8.618389160808421e+02
6.589665211757771e-03 8.666275210993768e+02
6.660006198338308e-03 8.715237387886854e+02
6.731098035566666e-03 8.765300182322662e+02
6.802948738353095e-03 8.816488604914496e+02
6.875566407162552e-03 8.868828190567612e+02
6.948959228927895e-03 8.922345002173414e+02
7.023135477972934e-03 8.977065633363997e+02
7.098103516945222e-03 9.033017210192970e+02
7.173871797758926e-03 9.090227391594038e+02
7.250448862547632e-03 9.148724368452099e+02
7.327843344627450e-03 9.208536861103421e+02
7.406063969470276e-03 9.269694115061702e+02
7.485119555687561e-03 9.332225894743965e+02
7.565019016024476e-03 9.396162474946296e+02
7.645771358364755e-03 9.461534629792271e+02
7.727385686746270e-03 9.528373618846508e+02
7.809871202387370e-03 9.596711170053468e+02
7.893237204724289e-03 9.666579459124804e+02
7.977493092459504e-03 9.738011084958229e+02
8.062648364621410e-03 9.811039040627290e+02
8.148712621635181e-03 9.885696679431636e+02
8.235695566405188e-03 9.962017675444463e+02
8.323607005408835e-03 1.004003597793400e+03
8.412456849802220e-03 1.011978575897112e+03
8.502255116537450e-03 1.020130135346313e+03
8.593011929492019e-03 1.028461719077528e+03
8.684737520610110e-03 1.036976771701482e+03
8.777442231056216e-03 1.045678730695758e+03
8.871136512380938e-03 1.054571016449285e+03
8.965830927699363e-03 1.063657021034833e+03
9.061536152881890e-03 1.072940095573245e+03
9.158262977757852e-03 1.082423536039444e+03
9.256022307332006e-03 1.092110567345544e+03
9.354825163013884e-03 1.102004325519995e+03
9.454682683860436e-03 1.112107837784367e+03
9.555606127831767e-03 1.122424000310110e+03
9.657606873060444e-03 1.132955553417168e+03
9.760696419134190e-03 1.143705053953981e+03
9.864886388392422e-03 1.154674844574660e+03
9.970188527236490e-03 1.165867019603368e+03
1.007661470745404e-02 1.177283387148877e+03
1.018417692755736e-02 1.188925427103172e+03
1.029288731413618e-02 1.200794244627648e+03
1.040275812322475e-02 1.212890518698483e+03
1.051380174168366e-02 1.225214445249734e+03
1.062603068859627e-02 1.237765674418785e+03
1.073945761668016e-02 1.250543241364466e+03
1.085409531371359e-02 1.263545490093986e+03
1.096995670397718e-02 1.276769989701729e+03
1.108705484971101e-02 1.290213442391726e+03
1.120540295258727e-02 1.303871582627725e+03
1.132501435519861e-02 1.317739066731681e+03
1.144590254256238e-02 1.331809352235185e+03
1.156808114364093e-02 1.346074566281364e+03
1.169156393287817e-02 1.360525362379823e+03
1.181636483175248e-02 1.375150764838081e+03
1.194249791034621e-02 1.389938000233662e+03
1.206997738893201e-02 1.404872315356705e+03
1.219881763957591e-02 1.419936781149498e+03
1.232903318775776e-02 1.435112082303441e+03
1.246063871400874e-02 1.450376292353670e+03
1.259364905556648e-02 1.465704634345682e+03
1.272807920804783e-02 1.481069227446842e+03
1.286394432713944e-02 1.496438820249828e+03
1.300125973030646e-02 1.511778511976551e+03
1.314004089851935e-02 1.527049463352882e+03
1.328030347799931e-02 1.542208599599242e+03
1.342206328198217e-02 1.557208308782718e+03
1.356533629250121e-02 1.571996139714272e+03
1.371013866218894e-02 1.586514504659501e+03
1.385648671609821e-02 1.600700393369102e+03
1.400439695354266e-02 1.614485106326368e+03
1.415388604995686e-02 1.627794016646702e+03
1.430497085877629e-02 1.640546371731189e+03
1.445766841333747e-02 1.652655147542011e+03
1.461199592879818e-02 1.664026970185043e+03
1.476797080407843e-02 1.674562121286612e+03
1.492561062382193e-02 1.684154645345800e+03
1.508493316037862e-02 1.692692578712858e+03
1.524595637580834e-02 1.700058320940898e+03
1.540869842390583e-02 1.706129169805649e+03
1.557317765224745e-02 1.710778041083327e+03
1.573941260425967e-02 1.713874392994125e+03
1.590742202130963e-02 1.715285372822729e+03
1.607722484481809e-02 1.714877199385088e+03
1.624884021839486e-02 1.712516789516774e+03
1.642228748999709e-02 1.708073629459936e+03
1.659758621411050e-02 1.701421882857099e+03
1.677475615395402e-02 1.692442716077891e+03
1.695381728370791e-02 1.681026809024861e+03
1.713478979076553e-02 1.667077005793942e+03
1.731769407800946e-02 1.650511045221763e+03
1.750255076611155e-02 1.631264297269374e+03
1.768938069585785e-02 1.609292418395515e+03
1.787820493049806e-02 1.584573828731051e+03
1.806904475812034e-02 1.557111907204536e+03
1.826192169405121e-02 1.526936798957307e+03
1.845685748328132e-02 1.494106733400928e+03
1.865387410291686e-02 1.458708761749489e+03
1.885299376465737e-02 1.420858839970649e+03
1.905423891729981e-02 1.380701206437615e+03
1.925763224926950e-02 1.338407032106991e+03
1.946319669117801e-02 1.294172353182462e+03
1.967095541840831e-02 1.248215329856482e+03
1.988093185372764e-02 1.200772907454199e+03
2.009314966992815e-02 1.152096985673638e+03
2.030763279249580e-02 1.102450225358272e+03
2.052440540230771e-02 1.052101638534693e+03
2.074349193835835e-02 1.001322115129828e+03
2.096491710051470e-02 9.503800384501359e+02
2.118870585230110e-02 8.995371315565312e+02
2.141488342371342e-02 8.490446592238637e+02
2.164347531406373e-02 7.991400869195247e+02
2.187450729485485e-02 7.500442712160900e+02
2.210800541268609e-02 7.019592274302865e+02
2.234399599218950e-02 6.550664921182040e+02
2.258250563899796e-02 6.095260721286154e+02
2.282356124274449e-02 5.654759495871050e+02
2.306718998009392e-02 5.230320943404927e+02
2.331341931780678e-02 4.822889224473029e+02
2.356227701583587e-02 4.433201312394028e+02
2.381379113045593e-02 4.061798379416304e+02
2.406799001742676e-02 3.709039492122157e+02
2.432490233518999e-02 3.375116925038749e+02
2.458455704810008e-02 3.060072460367493e+02
2.484698342968977e-02 2.763814116341687e+02
2.511221106597031e-02 2.486132829903501e+02
2.538026985876717e-02 2.226718705147719e+02
2.565119002909092e-02 1.985176522557929e+02
2.592500212054466e-02 1.761040281967884e+02
2.620173700276718e-02 1.553786622103545e+02
2.648142587491353e-02 1.362847020192074e+02
2.676410026917216e-02 1.187618725992061e+02
2.704979205432008e-02 1.027474425853019e+02
2.733853343931554e-02 8.817706646595606e+01
2.763035697692947e-02 7.498550776429208e+01
2.792529556741536e-02 6.310725011030982e+01
2.822338246221850e-02 5.247700421815295e+01
2.852465126772476e-02 4.303011940476740e+01
2.882913594904933e-02 3.470290852344696e+01
2.913687083386599e-02 2.743289513029557e+01
2.944789061627725e-02 2.115899143495004e+01
2.976223036072570e-02 1.582161517895299e+01
3.007992550594725e-02 1.136275309483215e+01
3.040101186896648e-02 7.725978075034677e+00
3.072552564913458e-02 4.856426662177460e+00
3.105350343221067e-02 2.700742992653931e+00
3.138498219448623e-02 1.206994909920979e+00
3.171999930695409e-02 3.245676314418568e-01
3.205859253952136e-02 4.040119037087616e-03
3.240080006526788e-02 1.970491762433384e-01
3.274666046474966e-02 8.561462835341165e-01
3.309621273034862e-02 1.934652283010375e+00
3.344949627066845e-02 3.386515232517814e+00
3.380655091497766e-02 5.166177051852060e+00
3.416741691769990e-02 7.228454958577584e+00
3.453213496295224e-02 9.528444105014422e+00
3.490074616913195e-02 1.202144823542620e+01
3.527329209355212e-02 1.466294552336562e+01
3.564981473712694e-02 1.740859694832691e+01
3.603035654910682e-02 2.021430453839862e+01
3.641496043186412e-02 2.303632643929117e+01
3.680366974573008e-02 2.583145496053035e+01
3.719652831388313e-02 2.855726238875025e+01
3.759358042728959e-02 3.117241735162101e+01
3.799487084969715e-02 3.363707179968934e+01
3.840044482268126e-02 3.591331523213597e+01
3.881034807074606e-02 3.796568868075571e+01
3.922462680647900e-02 3.976174632746902e+01
3.964332773576118e-02 4.127264770956389e+01
4.006649806303266e-02 4.247375861359726e+01
4.049418549661465e-02 4.334523441641987e+01
4.092643825408782e-02 4.387255630521283e+01
4.136330506772860e-02 4.404698901503668e+01
4.180483519000318e-02 4.386592892468711e+01
4.225107839912022e-02 4.333311388133989e+01
4.270208500464293e-02 4.245867110889995e+01
4.315790585316089e-02 4.125898686074481e+01
4.361859233402258e-02 3.975639068580460e+01
4.408419638512902e-02 3.797865760107268e+01
4.455477049878923e-02 3.595834221320594e+01
4.503036772763817e-02 3.373196891640419e+01
4.551104169061813e-02 3.133911075155011e+01
4.599684657902340e-02 2.882139554106419e+01
4.648783716261018e-02 2.622148098346415e+01
4.698406879577097e-02 2.358204030774357e+01
4.748559742377560e-02 2.094479700945771e+01
4.799247958907813e-02 1.834964159013598e+01
4.850477243769190e-02 1.583385580165033e+01
4.902253372563171e-02 1.343146148152073e+01
4.954582182542562e-02 1.117270248663439e+01
5.007469573269572e-02 9.083660235230573e+00
5.060921507280931e-02 7.185996534783506e+00
5.114944010760111e-02 5.496812096142812e+00
5.169543174216720e-02 4.028605602903692e+00
5.224725153173146e-02 2.789316434097268e+00
5.280496168858529e-02 1.782434004323187e+00
5.336862508910150e-02 1.007157970474854e+00
5.393830528082297e-02 4.585959869801687e-01
5.451406648962699e-02 1.279889792843515e-01
5.509597362696617e-02 2.957753528622080e-03
5.568409229718652e-02 6.776887914713074e-02
5.627848880492371e-02 3.036218807419853e-01
5.687923016257827e-02 6.889635546380298e-01
5.748638409787057e-02 1.199838356582927e+00
5.810001906147648e-02 1.810285927383664e+00
5.872020423474454e-02 2.492797537807320e+00
5.934700953749542e-02 3.218842139297288e+00
5.998050563590475e-02 3.959469442288442e+00
6.062076395046999e-02 4.685991772917506e+00
6.126785666406245e-02 5.370738376942503e+00
6.192185673006516e-02 5.987865689768118e+00
6.258283788059767e-02 6.514195661194165e+00
6.325087463482862e-02 6.930042781907200e+00
6.392604230737707e-02 7.219980690993672e+00
6.460841701680345e-02 7.373493053210302e+00
6.529807569419120e-02 7.385452572882785e+00
6.599509609182003e-02 7.256377822221316e+00
6.669955679193167e-02 6.992430336167715e+00
6.741153721558930e-02 6.605133288956907e+00
6.813111763163150e-02 6.110815917815103e+00
6.885837916572175e-02 5.529811655659612e+00
6.959340380949448e-02 4.885459259208304e+00
