<X> <Y>
1.000000000000000e-03 2.986357099229069e+04
1.006938631476027e-03 2.986189297581424e+04
1.013925407558815e-03 2.986019167478126e+04
1.020960662306047e-03 2.985846676725070e+04
1.028044732093310e-03 2.985671792687122e+04
1.035177955630176e-03 2.985494482280777e+04
1.042360673976401e-03 2.985314711968855e+04
1.049593230558228e-03 2.985132447754206e+04
1.056875971184804e-03 2.984947655173349e+04
1.064209244064725e-03 2.984760299290405e+04
1.071593399822671e-03 2.984570344690605e+04
1.079028791516184e-03 2.984377755473583e+04
1.086515774652538e-03 2.984182495247834e+04
1.094054707205742e-03 2.983984527122650e+04
1.101645949633657e-03 2.983783813702457e+04
1.109289864895223e-03 2.983580317079455e+04
1.116986818467823e-03 2.983373998827136e+04
1.124737178364752e-03 2.983164819993129e+04
1.132541315152812e-03 2.982952741092242e+04
1.140399601970033e-03 2.982737722098946e+04
1.148312414543511e-03 2.982519722440597e+04
1.156280131207375e-03 2.982298700989559e+04
1.164303132920877e-03 2.982074616056708e+04
1.172381803286599e-03 2.981847425382622e+04
1.180516528568806e-03 2.981617086131126e+04
1.188707697711903e-03 2.981383554880727e+04
1.196955702359043e-03 2.981146787617330e+04
1.205260936870843e-03 2.980906739725894e+04
1.213623798344241e-03 2.980663365982887e+04
1.222044686631489e-03 2.980416620547536e+04
1.230524004359262e-03 2.980166456954343e+04
1.239062156947916e-03 2.979912828104167e+04
1.247659552630870e-03 2.979655686255853e+04
1.256316602474120e-03 2.979394983017977e+04
1.265033720395904e-03 2.979130669339833e+04
1.273811323186479e-03 2.978862695503109e+04
1.282649830528060e-03 2.978591011112572e+04
1.291549665014884e-03 2.978315565087219e+04
1.300511252173409e-03 2.978036305651317e+04
1.309535020482668e-03 2.977753180324853e+04
1.318621401394748e-03 2.977466135914944e+04
1.327770829355429e-03 2.977175118505165e+04
1.336983741824947e-03 2.976880073447369e+04
1.346260579298910e-03 2.976580945350774e+04
1.355601785329369e-03 2.976277678073020e+04
1.365007806546014e-03 2.975970214709871e+04
1.374479092677537e-03 2.975658497585144e+04
1.384016096573132e-03 2.975342468240756e+04
1.393619274224142e-03 2.975022067426167e+04
1.403289084785873e-03 2.974697235087940e+04
1.413025990599534e-03 2.974367910359454e+04
1.422830457214352e-03 2.974034031549983e+04
1.432702953409831e-03 2.973695536134123e+04
1.442643951218157e-03 2.973352360740500e+04
1.452653925946781e-03 2.973004441140847e+04
1.462733356201130e-03 2.972651712238945e+04
1.472882723907502e-03 2.972294108059059e+04
1.483102514336104e-03 2.971931561734303e+04
1.493393216124252e-03 2.971564005495575e+04
1.503755321299738e-03 2.971191370659101e+04
1.514189325304352e-03 2.970813587615050e+04
1.524695727017575e-03 2.970430585815126e+04
1.535275028780423e-03 2.970042293760535e+04
1.545927736419477e-03 2.969648638989516e+04
1.556654359271062e-03 2.969249548065156e+04
1.567455410205595e-03 2.968844946562361e+04
1.578331405652118e-03 2.968434759055033e+04
1.589282865622978e-03 2.968018909103714e+04
1.600310313738700e-03 2.967597319241739e+04
1.611414277253020e-03 2.967169910962453e+04
1.622595287078087e-03 2.966736604705565e+04
1.633853877809862e-03 2.966297319843847e+04
1.645190587753663e-03 2.965851974669093e+04
1.656605958949913e-03 2.965400486378483e+04
1.668100537200059e-03 2.964942771060326e+04
1.679674872092653e-03 2.964478743679979e+04
1.691329517029649e-03 2.964008318065597e+04
1.703065029252844e-03 2.963531406893321e+04
1.714881969870539e-03 2.963047921672715e+04
1.726780903884356e-03 2.962557772731871e+04
1.738762400216250e-03 2.962060869202456e+04
1.750827031735725e-03 2.961557119004304e+04
1.762975375287206e-03 2.961046428830291e+04
1.775208011717634e-03 2.960528704130567e+04
1.787525525904235e-03 2.960003849096851e+04
1.799928506782477e-03 2.959471766646526e+04
1.812417547374238e-03 2.958932358406932e+04
1.824993244816152e-03 2.958385524698280e+04
1.837656200388170e-03 2.957831164518046e+04
1.850407019542302e-03 2.957269175523856e+04
1.863246311931560e-03 2.956699454016837e+04
1.876174691439121e-03 2.956121894924746e+04
1.889192776207666e-03 2.955536391784465e+04
1.902301188668944e-03 2.954942836725026e+04
1.915500555573528e-03 2.954341120449744e+04
1.928791508020778e-03 2.953731132218792e+04
1.942174681489027e-03 2.953112759830994e+04
1.955650715865949e-03 2.952485889605965e+04
1.969220255479171e-03 2.951850406365599e+04
1.982883949127072e-03 2.951206193415699e+04
1.996642450109793e-03 2.950553132527336e+04
2.010496416260499e-03 2.949891103917826e+04
2.024446509976804e-03 2.949219986231730e+04
2.038493398252464e-03 2.948539656521686e+04
2.052637752709252e-03 2.947849990228807e+04
2.066880249629082e-03 2.947150861163056e+04
2.081221569986339e-03 2.946442141483454e+04
2.095662399480433e-03 2.945723701677916e+04
2.110203428568597e-03 2.944995410543126e+04
2.124845352498883e-03 2.944257135164045e+04
2.139588871343421e-03 2.943508740893108e+04
2.154434690031884e-03 2.942750091329584e+04
2.169383518385184e-03 2.941981048298482e+04
2.184436071149428e-03 2.941201471829173e+04
2.199593068030075e-03 2.940411220134049e+04
2.214855233726359e-03 2.939610149586796e+04
2.230223297965939e-03 2.938798114700604e+04
2.245697995539774e-03 2.937974968106089e+04
2.261280066337279e-03 2.937140560529010e+04
2.276970255381680e-03 2.936294740767702e+04
2.292769312865649e-03 2.935437355670615e+04
2.308677994187170e-03 2.934568250113345e+04
2.324697059985648e-03 2.933687266975533e+04
2.340827276178294e-03 2.932794247117559e+04
2.357069413996728e-03 2.931889029357206e+04
2.373424250023866e-03 2.930971450445961e+04
2.389892566231050e-03 2.930041345044900e+04
2.406475150015424e-03 2.929098545700971e+04
2.423172794237601e-03 2.928142882822552e+04
2.439986297259550e-03 2.927174184654953e+04
2.456916462982790e-03 2.926192277255750e+04
2.473964100886814e-03 2.925196984470070e+04
2.491130026067788e-03 2.924188127905356e+04
2.508415059277541e-03 2.923165526906239e+04
2.525820026962785e-03 2.922128998529060e+04
2.543345761304648e-03 2.921078357516264e+04
2.560993100258459e-03 2.920013416270574e+04
2.578762887593801e-03 2.918933984828992e+04
2.596655972934872e-03 2.917839870836616e+04
2.614673211801092e-03 2.916730879520257e+04
2.632815465648020e-03 2.915606813661994e+04
2.651083601908539e-03 2.914467473572291e+04
2.669478494034321e-03 2.913312657063277e+04
2.688001021537607e-03 2.912142159421530e+04
2.706652070033241e-03 2.910955773380971e+04
2.725432531281028e-03 2.909753289095348e+04
2.744343303228365e-03 2.908534494110792e+04
2.763385290053170e-03 2.907299173338011e+04
2.782559402207126e-03 2.906047109024468e+04
2.801866556459195e-03 2.904778080726341e+04
2.821307675939471e-03 2.903491865280350e+04
2.840883690183304e-03 2.902188236775465e+04
2.860595535175742e-03 2.900866966524419e+04
2.880444153396298e-03 2.899527823035187e+04
2.900430493863992e-03 2.898170571982272e+04
