# Fit-Daten zu Messung 1
# q [nm^-1],Intensität [a.u.]
0.100000,9900.498337
0.115140,7456.767012
0.132571,5614.932626
0.152642,4226.918870
0.175751,3181.055966
0.202359,2393.132605
0.232995,1799.646766
0.268270,1352.715116
0.308884,1016.233450
0.355648,762.980759
0.409492,572.435045
0.471487,429.125992
0.542868,321.392551
0.625055,240.445948
0.719686,179.663036
0.828643,134.053392
0.954095,99.857453
1.098541,74.243478
1.264855,55.079045
1.456348,40.758761
1.676833,30.074366
1.930698,22.116800
2.222996,16.202385
2.559548,11.817176
2.947052,8.575030
3.393222,6.185998
3.906940,4.432516
4.498433,3.151469
5.179475,2.220684
5.963623,1.548755
6.866488,1.067389
7.906043,0.725649
9.102982,0.485618
10.481131,0.319149
12.067926,0.205415
13.894955,0.129073
15.998587,0.078891
18.420700,0.046708
21.209509,0.026658
24.420531,0.014585
28.117687,0.007602
32.374575,0.003746
37.275937,0.001731
42.919343,0.000743
49.417134,0.000292
56.898660,0.000104
65.512856,0.000033
75.431201,0.000009
86.851137,0.000002
100.000000,0.000000
