# Beispiel Streudaten - Messung 2
# q [nm^-1]	Intensität [a.u.]	Fehler [a.u.]
0.100000	1580.354693	237.553204
0.115140	1283.255668	192.988350
0.132571	1037.045072	156.056761
0.152642	839.030783	126.354617
0.175751	678.592525	102.288879
0.202359	553.455749	83.518362
0.232995	447.353060	67.602959
0.268270	357.056806	54.058521
0.308884	291.385340	44.207801
0.355648	232.088194	35.313229
0.409492	191.027521	29.154128
0.471487	156.971938	24.045791
0.542868	120.956315	18.643447
0.625055	101.353825	15.703074
0.719686	80.443838	12.566576
0.828643	63.073039	9.960956
0.954095	55.220277	8.783042
1.098541	45.151427	7.272714
1.264855	30.553711	5.083057
1.456348	28.739001	4.810850
1.676833	23.422817	4.013422
1.930698	16.326690	2.949004
2.222996	15.908927	2.886339
2.559548	13.920350	2.588053
2.947052	13.510662	2.526599
3.393222	8.850386	1.827558
3.906940	7.420743	1.613111
4.498433	2.459080	0.868862
5.179475	0.824195	0.623629
5.963623	3.535522	1.030328
6.866488	2.474672	0.871201
7.906043	3.738396	1.060759
9.102982	1.748768	0.762315
10.481131	0.129569	0.519435
12.067926	5.102663	1.265399
13.894955	0.713260	0.606989
15.998587	0.717694	0.607654
18.420700	3.417083	1.012562
21.209509	4.581645	1.187247
24.420531	4.456382	1.168457
28.117687	0.436348	0.565452
32.374575	3.779551	1.066933
37.275937	2.236273	0.835441
42.919343	0.263165	0.539475
49.417134	2.220459	0.833069
56.898660	3.790525	1.068579
65.512856	3.318273	0.997741
75.431201	0.672952	0.600943
86.851137	0.541583	0.581237
100.000000	2.735869	0.910380
